                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.85322,                 1.4539,                0.49328,                 1.1041,                0.92844,                0.95434,                0.98116,                0.79638,                0.93061,                0.95657,                0.98254,                0.76575,                0.78074,                  1.277,                0.41538,                0.93371,             0.00097386,             0.00097386,             0.00097386
                     45,                0.82899,                 1.4313,                0.48796,                 1.0897,                0.94902,                0.93283,                0.98328,                0.79927,                0.95242,                0.93617,                0.98527,                 0.7715,                0.75841,                  1.301,                0.40046,                0.91074,             0.00095736,             0.00095736,             0.00095736
                     46,                0.83651,                  1.452,                0.48536,                 1.0912,                0.93737,                0.95007,                0.98347,                0.79977,                0.94067,                0.95341,                0.98467,                0.77426,                0.77602,                 1.2891,                0.39393,                0.92795,             0.00094085,             0.00094085,             0.00094085
                     47,                0.83096,                 1.4249,                0.47662,                 1.0878,                 0.9363,                 0.9493,                0.98169,                0.79892,                 0.9362,                0.94775,                0.98139,                0.77581,                0.76343,                 1.3203,                0.39252,                0.91993,             0.00092435,             0.00092435,             0.00092435
                     48,                0.82637,                 1.4322,                0.48682,                 1.0839,                0.92023,                0.96345,                0.98141,                0.79456,                0.92129,                0.96456,                0.98199,                0.76947,                0.77449,                 1.2759,                0.40824,                0.92214,             0.00090785,             0.00090785,             0.00090785
                     49,                0.81119,                 1.4126,                0.46961,                 1.0802,                0.94258,                0.93653,                0.98244,                0.79591,                0.94594,                0.93987,                 0.9837,                0.77468,                0.76461,                 1.2825,                0.39863,                0.91981,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.8267,                 1.4345,                0.47611,                 1.0848,                0.93228,                0.95051,                0.98351,                0.79527,                0.93795,                0.95955,                0.98651,                0.76742,                0.76175,                 1.2647,                0.38299,                0.91142,             0.00087484,             0.00087484,             0.00087484
                     51,                0.79463,                 1.4083,                0.45827,                 1.0705,                 0.9385,                 0.9516,                0.98459,                0.79948,                0.94022,                0.94989,                0.98414,                0.76874,                0.76565,                 1.2846,                0.38463,                   0.92,             0.00085834,             0.00085834,             0.00085834
                     52,                0.79406,                 1.3892,                0.45127,                 1.0709,                0.94174,                0.93604,                0.98369,                0.80263,                0.94567,                0.93875,                0.98463,                 0.7792,                0.74799,                 1.2778,                0.38864,                0.90727,             0.00084184,             0.00084184,             0.00084184
                     53,                0.81012,                  1.418,                0.46424,                  1.079,                0.92354,                0.94098,                0.97928,                0.79073,                0.92663,                0.94655,                0.98001,                0.76435,                0.76242,                 1.3002,                0.40791,                0.92051,             0.00082533,             0.00082533,             0.00082533
                     54,                0.80097,                 1.4076,                0.46596,                 1.0698,                0.94484,                0.93764,                0.98191,                0.80331,                0.95085,                0.93764,                0.98492,                0.77388,                0.74983,                 1.2505,                0.37529,                0.91159,             0.00080883,             0.00080883,             0.00080883
                     55,                0.79326,                 1.4048,                0.45833,                 1.0716,                0.94457,                0.94876,                0.98288,                0.80415,                0.94568,                0.94987,                 0.9828,                 0.7789,                0.73784,                 1.2669,                0.37715,                0.90943,             0.00079233,             0.00079233,             0.00079233
                     56,                0.77963,                 1.3777,                0.45329,                 1.0639,                0.94398,                0.93826,                0.98311,                0.80778,                0.94734,                 0.9416,                0.98419,                0.77275,                0.74356,                 1.2949,                0.37137,                0.90363,             0.00077582,             0.00077582,             0.00077582
                     57,                0.78644,                 1.3758,                0.45428,                 1.0665,                0.94694,                0.94655,                0.98424,                 0.7993,                0.94917,                0.94878,                0.98384,                 0.7621,                0.76579,                 1.2705,                0.37926,                0.92019,             0.00075932,             0.00075932,             0.00075932
                     58,                0.78763,                  1.377,                0.45667,                 1.0677,                0.93411,                0.94432,                0.98346,                0.80488,                0.93494,                0.94416,                0.98289,                0.77267,                 0.7429,                 1.2577,                0.38685,                0.90672,             0.00074282,             0.00074282,             0.00074282
                     59,                0.78247,                 1.3658,                0.45063,                   1.07,                0.95444,                0.93318,                0.98399,                0.80857,                0.93116,                 0.9588,                0.98504,                0.78095,                0.74042,                 1.2616,                0.37848,                0.91004,             0.00072631,             0.00072631,             0.00072631
                     60,                0.77518,                 1.3644,                0.44516,                 1.0615,                0.93958,                0.95245,                0.98499,                0.80652,                0.94068,                0.95356,                0.98554,                0.77873,                0.72706,                 1.2648,                0.37008,                0.90088,             0.00070981,             0.00070981,             0.00070981
                     61,                0.77275,                 1.3579,                0.44259,                 1.0622,                0.94561,                0.94862,                0.98457,                0.81545,                0.94687,                0.94878,                0.98455,                0.78871,                0.73093,                 1.2451,                 0.3632,                 0.8994,             0.00069331,             0.00069331,             0.00069331
                     62,                0.78228,                 1.3726,                0.44866,                 1.0686,                0.93049,                0.95405,                0.98351,                0.81626,                0.93406,                0.95434,                 0.9841,                 0.7836,                0.71671,                 1.2388,                0.37712,                 0.8954,              0.0006768,              0.0006768,              0.0006768
                     63,                0.77015,                 1.3676,                0.44184,                 1.0594,                0.94567,                  0.951,                0.98659,                0.81837,                0.95192,                0.94766,                0.98721,                0.78205,                0.72995,                 1.2482,                0.35004,                0.89762,              0.0006603,              0.0006603,              0.0006603
                     64,                0.75405,                  1.339,                0.42676,                 1.0526,                0.94973,                0.94321,                0.98531,                 0.8166,                0.95085,                0.94432,                0.98574,                0.78129,                0.72122,                 1.2501,                 0.3737,                0.89394,              0.0006438,              0.0006438,              0.0006438
                     65,                0.76213,                 1.3397,                0.42853,                 1.0498,                0.95357,                0.94543,                0.98462,                0.81119,                0.95802,                0.94878,                0.98576,                0.76921,                0.72859,                 1.2794,                0.35515,                0.89279,             0.00062729,             0.00062729,             0.00062729
                     66,                0.75115,                 1.3236,                0.42293,                 1.0443,                0.94506,                0.95546,                0.98544,                 0.8168,                0.94836,                 0.9588,                0.98667,                0.78511,                0.71907,                 1.2221,                 0.3496,                0.88814,             0.00061079,             0.00061079,             0.00061079
                     67,                0.74692,                 1.3189,                0.42372,                 1.0427,                0.94666,                0.94866,                0.98544,                0.81269,                0.94887,                0.95059,                0.98625,                0.77735,                0.74321,                 1.2892,                0.37167,                0.90577,             0.00059429,             0.00059429,             0.00059429
                     68,                0.74499,                 1.3436,                 0.4305,                 1.0472,                0.94302,                0.94878,                0.98549,                0.81675,                0.95272,                0.94243,                0.98589,                0.79616,                 0.7176,                 1.2131,                0.35728,                  0.888,             0.00057778,             0.00057778,             0.00057778
                     69,                0.74707,                 1.3261,                0.42159,                 1.0465,                0.95612,                0.93541,                0.98528,                0.81445,                 0.9584,                0.93764,                0.98619,                0.77636,                0.71763,                 1.2686,                 0.3535,                0.89266,             0.00056128,             0.00056128,             0.00056128
                     70,                 0.7432,                 1.3307,                0.42474,                 1.0407,                0.95514,                  0.951,                0.98611,                0.81855,                0.95404,                 0.9477,                0.98606,                0.78444,                0.73013,                  1.232,                0.35757,                0.89932,             0.00054478,             0.00054478,             0.00054478
                     71,                0.73564,                 1.3103,                0.42233,                  1.037,                0.95279,                0.94432,                 0.9842,                0.81847,                0.95616,                0.94766,                0.98549,                0.78696,                0.71059,                 1.2431,                 0.3503,                0.88033,             0.00052827,             0.00052827,             0.00052827
                     72,                0.73836,                 1.3068,                0.41727,                 1.0402,                0.94822,                0.95836,                0.98498,                0.81205,                 0.9483,                0.95768,                0.98388,                0.77363,                0.74038,                  1.266,                0.35182,                0.90472,             0.00051177,             0.00051177,             0.00051177
                     73,                0.72826,                 1.3069,                0.41182,                 1.0334,                 0.9604,                0.93541,                 0.9856,                0.81981,                 0.9604,                0.93541,                0.98557,                0.78293,                0.71386,                 1.2279,                0.35428,                0.88684,             0.00049527,             0.00049527,             0.00049527
                     74,                0.72278,                 1.3133,                 0.4126,                  1.037,                0.94822,                0.94432,                0.98486,                0.82279,                 0.9511,                0.94766,                0.98617,                  0.788,                0.70864,                   1.24,                0.35454,                0.88197,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.7208,                 1.2929,                 0.4074,                 1.0334,                0.94311,                0.96214,                0.98595,                0.81615,                 0.9442,                0.96325,                0.98648,                0.78377,                 0.7209,                 1.2295,                0.34959,                 0.8888,             0.00046226,             0.00046226,             0.00046226
                     76,                0.71302,                 1.2732,                0.40438,                 1.0293,                0.95592,                0.94191,                0.98598,                0.82326,                0.95818,                0.94414,                0.98614,                0.79576,                0.70823,                 1.2144,                  0.347,                0.87984,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.7106,                 1.2836,                0.40073,                 1.0263,                 0.9374,                0.96325,                0.98674,                0.82512,                 0.9362,                0.96771,                0.98693,                0.78379,                0.70999,                 1.2107,                0.34785,                0.88518,             0.00042925,             0.00042925,             0.00042925
                     78,                0.70553,                 1.2985,                 0.4052,                 1.0244,                 0.9423,                0.95212,                0.98529,                0.82234,                0.94274,                0.95332,                 0.9855,                0.78552,                0.70128,                 1.2493,                0.35291,                 0.8798,             0.00041275,             0.00041275,             0.00041275
                     79,                  0.697,                 1.2761,                0.39624,                 1.0193,                0.95247,                0.94321,                0.98586,                0.82332,                0.95882,                0.94098,                  0.986,                0.78851,                0.68773,                 1.2137,                0.34889,                0.87395,             0.00039625,             0.00039625,             0.00039625
                     80,                0.70628,                 1.2789,                0.39906,                  1.021,                0.95544,                0.95511,                0.98709,                0.82123,                0.95645,                0.95384,                 0.9872,                0.78468,                0.70898,                 1.2088,                0.33721,                 0.8838,             0.00037974,             0.00037974,             0.00037974
                     81,                0.69441,                 1.2609,                0.39032,                 1.0201,                 0.9554,                0.95428,                0.98592,                0.82432,                0.95881,                0.95323,                0.98754,                0.78406,                0.70309,                 1.2285,                0.33791,                0.87709,             0.00036324,             0.00036324,             0.00036324
                     82,                0.69364,                 1.2763,                0.39453,                 1.0249,                0.94212,                0.96437,                0.98662,                0.82541,                 0.9477,                0.96853,                0.98822,                0.78309,                 0.6927,                 1.2202,                0.33139,                0.87138,             0.00034674,             0.00034674,             0.00034674
                     83,                0.68838,                 1.2569,                0.39109,                  1.017,                0.94224,                0.96284,                0.98737,                0.82754,                0.94224,                0.96284,                0.98745,                0.79254,                0.69373,                 1.2097,                0.33116,                0.87375,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.6917,                 1.2625,                0.38992,                 1.0245,                0.95669,                0.94655,                0.98535,                0.82646,                0.95974,                0.94989,                0.98712,                0.78959,                0.69458,                 1.1964,                0.33178,                0.87257,             0.00031373,             0.00031373,             0.00031373
                     85,                0.68399,                 1.2368,                0.38202,                 1.0177,                0.94238,                0.96523,                0.98771,                0.82878,                0.95968,                0.95412,                0.98826,                0.78923,                0.69107,                 1.1976,                0.32843,                 0.8736,             0.00029723,             0.00029723,             0.00029723
                     86,                0.67529,                 1.2438,                0.38529,                 1.0113,                 0.9544,                0.95561,                0.98661,                0.82516,                0.95663,                0.95784,                 0.9875,                0.79569,                0.69227,                 1.2244,                 0.3309,                0.87996,             0.00028072,             0.00028072,             0.00028072
                     87,                0.66528,                 1.2321,                0.37604,                 1.0061,                0.96355,                0.94209,                0.98726,                0.82588,                0.96351,                  0.941,                0.98721,                0.78875,                0.69208,                 1.2075,                0.32964,                0.87481,             0.00026422,             0.00026422,             0.00026422
                     88,                0.66697,                 1.2406,                0.37078,                 1.0112,                0.95655,                0.95617,                0.98679,                0.82778,                0.95465,                0.95768,                0.98719,                0.79334,                0.68998,                 1.2072,                0.32846,                0.87556,             0.00024772,             0.00024772,             0.00024772
                     89,                0.65883,                 1.2107,                0.37493,                 1.0078,                0.95073,                0.95657,                 0.9868,                0.82775,                0.95184,                0.95768,                0.98745,                0.79686,                0.69479,                 1.2031,                0.33199,                0.87698,             0.00023121,             0.00023121,             0.00023121
                     90,                0.64743,                 1.2275,                0.36347,                 1.0024,                0.95761,                  0.956,                0.98788,                 0.8307,                0.96499,                0.95157,                0.98872,                0.79702,                0.68426,                 1.2069,                0.32863,                0.87398,             0.00021471,             0.00021471,             0.00021471
                     91,                0.63969,                 1.2034,                0.33564,                 1.0229,                0.96378,                0.94828,                0.98723,                0.82909,                0.96831,                0.95273,                0.98868,                0.78806,                0.69629,                 1.2347,                 0.3302,                0.88497,             0.00019821,             0.00019821,             0.00019821
                     92,                0.62276,                 1.1682,                 0.3236,                 1.0062,                0.95561,                0.95768,                0.98753,                0.83138,                 0.9621,                 0.9611,                0.98893,                0.79896,                0.69791,                 1.2165,                0.33574,                 0.8829,              0.0001817,              0.0001817,              0.0001817
                     93,                0.62174,                 1.1747,                0.32262,                 1.0141,                0.95618,                0.95657,                0.98764,                0.83571,                0.95958,                0.95991,                0.98852,                0.80413,                0.68687,                 1.2106,                0.32831,                0.88164,              0.0001652,              0.0001652,              0.0001652
                     94,                0.60722,                 1.1636,                0.31933,                 1.0015,                0.96469,                 0.9431,                0.98696,                0.83283,                 0.9704,                0.94917,                0.98887,                0.79565,                0.69886,                 1.2338,                0.32993,                 0.8845,              0.0001487,              0.0001487,              0.0001487
                     95,                0.59823,                 1.1405,                0.31112,                0.99687,                0.95247,                 0.9596,                0.98798,                 0.8394,                0.95688,                0.96384,                0.98903,                 0.8034,                0.68834,                 1.2232,                0.32401,                0.87713,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.5916,                 1.1376,                0.30586,                0.98737,                0.95858,                0.95348,                0.98735,                0.84028,                0.96417,                0.95905,                0.98898,                0.80025,                0.68062,                  1.234,                 0.3223,                0.87279,             0.00011569,             0.00011569,             0.00011569
                     97,                0.59164,                 1.1432,                0.30962,                0.99544,                0.95886,                0.95768,                0.98771,                0.84094,                  0.961,                0.96042,                0.98864,                0.79927,                0.68018,                 1.2179,                0.31797,                0.87244,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.57716,                  1.128,                 0.3015,                0.98961,                 0.9599,                0.95954,                0.98762,                0.84116,                 0.9622,                0.96371,                0.98882,                0.80369,                 0.6806,                 1.2222,                0.31692,                0.87574,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.57438,                 1.1194,                0.30084,                0.98157,                0.95674,                0.96047,                0.98818,                 0.8422,                0.96004,                0.96437,                 0.9889,                0.80312,                0.68184,                 1.2259,                0.31619,                0.87279,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.57856,                 1.1122,                0.29886,                 0.9855,                0.95576,                0.96232,                0.98789,                  0.843,                0.95519,                0.96659,                0.98873,                 0.8045,                0.67621,                 1.2203,                0.31405,                0.87005,             4.9677e-05,             4.9677e-05,             4.9677e-05
